Nodal displacements
node#      x          y          u          v
  202    0.002914    1.851369   -0.322345
  203    0.010258    1.735274   -0.263046
  204   -0.024819    1.750836   -0.336747
  205   -0.050367    1.796345   -0.094201
  206   -0.114786    1.820853   -0.164152
  207   -0.109790    1.713764   -0.130944
  208   -0.169561    1.732304   -0.199860
  209   -0.100209    1.729874   -0.000394
  210   -0.177063    1.757204   -0.064181
  211   -0.175850    1.651426   -0.044387
  212   -0.245762    1.673472   -0.108437
  213   -0.124097    1.641697    0.052620
  214   -0.200333    1.672174   -0.005596
  215   -0.201516    1.564066    0.008946
  216   -0.272091    1.588976   -0.049928
  217   -0.129664    1.541551    0.079331
  218   -0.197725    1.574462    0.026296
  219   -0.198305    1.463132    0.039859
  220   -0.263534    1.489841   -0.013648
  221   -0.121764    1.431829    0.090396
  222   -0.177493    1.469889    0.042250
  223   -0.173820    1.349970    0.056651
  224   -0.229785    1.380565    0.008529
  225   -0.102143    1.315983    0.091045
  226   -0.144111    1.355751    0.048026
  227   -0.134825    1.232845    0.063544
  228   -0.179737    1.264455    0.021131
  229   -0.072938    1.200998    0.082567
  230   -0.101665    1.238581    0.045829
  231   -0.087025    1.121997    0.060644
  232   -0.120233    1.151680    0.024889
  233   -0.038038    1.097833    0.062775
  234   -0.055639    1.127624    0.035366
  235   -0.039806    1.034222    0.046026
  236   -0.061581    1.057800    0.019504
  237   -0.005901    1.019570    0.022157
  238   -0.012284    1.039589    0.009803
  239   -0.007991    0.984316    0.019869
  240   -0.017695    0.999324    0.008489
  241    0.311805    1.093650   -0.651234
  242    0.408150    1.120759   -0.677421
  243    0.366498    1.056568   -0.580089
  244    0.425343    1.071707   -0.602884
  245    0.029553    1.395564   -0.417196
  246    0.014148    1.395995   -0.456443
  247    0.010777    1.352470   -0.428586
  248   -0.002633    1.351577   -0.465792
  249   -0.130350    1.543590   -0.263195
  250   -0.194304    1.538777   -0.313217
  251   -0.195517    1.492344   -0.310842
  252   -0.242565    1.489612   -0.360310
  253   -0.210645    1.592925   -0.162729
  254   -0.290386    1.595398   -0.218899
  255   -0.297064    1.531163   -0.221685
  256   -0.357625    1.535071   -0.278121
  257   -0.237682    1.579325   -0.098143
  258   -0.316312    1.590728   -0.155679
  259   -0.328663    1.508005   -0.155046
  260   -0.391948    1.518686   -0.212967
  261   -0.230256    1.526560   -0.058159
  262   -0.298901    1.545341   -0.113812
  263   -0.312560    1.447369   -0.106632
  264   -0.371991    1.463008   -0.162279
  265   -0.202572    1.450251   -0.033077
  266   -0.257245    1.473993   -0.084903
  267   -0.266381    1.365435   -0.071718
  268   -0.317827    1.384077   -0.122944
  269   -0.162500    1.358075   -0.015984
  270   -0.201650    1.387130   -0.062735
  271   -0.202058    1.269001   -0.045289
  272   -0.242510    1.291224   -0.090781
  273   -0.114843    1.257246   -0.004607
  274   -0.138204    1.287453   -0.044716
  275   -0.127993    1.169607   -0.025299
  276   -0.155886    1.192335   -0.063646
  277   -0.067213    1.157605    0.002150
  278   -0.076875    1.183870   -0.028497
  279   -0.058255    1.082528   -0.011833
  280   -0.073324    1.102251   -0.040716
  281   -0.028860    1.073617    0.003711
  282   -0.029454    1.090709   -0.014432
  283   -0.010541    1.024990   -0.004727
  284   -0.014993    1.037993   -0.021681
  285   -0.005816    1.017631    0.000937
  286   -0.003778    1.026902   -0.006168
  287    0.000955    0.995142    0.004277
  288   -0.000393    1.001357   -0.001645
  289    0.130321    0.608171   -0.398658
  290    0.191795    0.623068   -0.403846
  291    0.135840    0.607985   -0.346269
  292    0.194010    0.618102   -0.348045
  293   -0.164613    1.056634   -0.342774
  294   -0.116855    1.021915   -0.422733
  295   -0.183171    0.997896   -0.330934
  296   -0.147913    0.924635   -0.406400
  297   -0.317149    1.313132   -0.292716
  298   -0.292798    1.234265   -0.398033
  299   -0.337164    1.229658   -0.312680
  300   -0.326368    1.104511   -0.412776
  301   -0.375485    1.439352   -0.247542
  302   -0.378119    1.336665   -0.355284
  303   -0.386350    1.348606   -0.287084
  304   -0.399894    1.203323   -0.389535
  305   -0.370802    1.482200   -0.208837
  306   -0.399655    1.367573   -0.304618
  307   -0.371155    1.392827   -0.258393
  308   -0.406510    1.245153   -0.349673
  309   -0.325842    1.467722   -0.175973
  310   -0.376877    1.353688   -0.254083
  311   -0.318014    1.384865   -0.228480
  312   -0.371120    1.248715   -0.303341
  313   -0.257379    1.415803   -0.147760
  314   -0.324810    1.313457   -0.208342
  315   -0.244329    1.342621   -0.198727
  316   -0.310310    1.227827   -0.257355
  317   -0.176586    1.337829   -0.121077
  318   -0.254600    1.257048   -0.168500
  319   -0.158431    1.277554   -0.167437
  320   -0.232491    1.190725   -0.213899
  321   -0.092535    1.244875   -0.094848
